subject,stem,alpha,full_path,low_path,is_phantom
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_105,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_105.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_105_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_105,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_105.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_105_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_105,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_105.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_105_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_11,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_11.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_11_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_11,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_11.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_11_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_11,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_11.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_11_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_11,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_11.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_11_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_110,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_110.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_110_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_110,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_110.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_110_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_110,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_110.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_110_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_110,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_110.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_110_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_111,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_111.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_111_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_111,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_111.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_111_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_111,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_111.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_111_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_111,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_111.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_111_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_112,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_112.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_112_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_112,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_112.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_112_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_112,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_112.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_112_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_112,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_112.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_112_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_113,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_113.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_113_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_113,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_113.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_113_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_113,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_113.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_113_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_113,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_113.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_113_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_114,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_114.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_114_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_114,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_114.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_114_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_114,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_114.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_114_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_114,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_114.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_114_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_116,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_116.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_116_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_116,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_116.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_116_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_116,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_116.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_116_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_116,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_116.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_116_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_117,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_117.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_117_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_117,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_117.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_117_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_117,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_117.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_117_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_117,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_117.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_117_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_119,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_119.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_119_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_119,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_119.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_119_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_119,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_119.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_119_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_119,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_119.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_119_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_12,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_12.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_12_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_12,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_12.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_12_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_12,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_12.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_12_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_12,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_12.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_12_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_120,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_120.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_120_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_120,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_120.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_120_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_120,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_120.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_120_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_120,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_120.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_120_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_121,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_121.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_121_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_121,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_121.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_121_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_121,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_121.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_121_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_121,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_121.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_121_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_122,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_122.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_122_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_122,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_122.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_122_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_122,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_122.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_122_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_122,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_122.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_122_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_123,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_123.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_123_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_123,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_123.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_123_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_123,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_123.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_123_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_123,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_123.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_123_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_126,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_126.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_126_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_126,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_126.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_126_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_126,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_126.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_126_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_126,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_126.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_126_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_127,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_127.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_127_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_127,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_127.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_127_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_127,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_127.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_127_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_127,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_127.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_127_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_128,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_128.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_128_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_128,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_128.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_128_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_128,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_128.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_128_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_128,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_128.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_128_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_129,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_129.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_129_uldl_100p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_129,0.05,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_129.dcm,D:\new data_back\PET_low_Combined_All\alpha_050p\Real_small_animal_(Rat)_EnIm1_PET_Frame_129_uldl_050p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_129,0.02,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_129.dcm,D:\new data_back\PET_low_Combined_All\alpha_020p\Real_small_animal_(Rat)_EnIm1_PET_Frame_129_uldl_020p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_129,0.01,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_129.dcm,D:\new data_back\PET_low_Combined_All\alpha_010p\Real_small_animal_(Rat)_EnIm1_PET_Frame_129_uldl_010p.dcm,False
Real_small,Real_small_animal_(Rat)_EnIm1_PET_Frame_13,0.1,D:\new data_back\PET_Combined_All\Real_small_animal_(Rat)_EnIm1_PET_Frame_13.dcm,D:\new data_back\PET_low_Combined_All\alpha_100p\Real_small_animal_(Rat)_EnIm1_PET_Frame_13_uldl_100p.dcm,False
